distance,lat,lon,alt,speed,acc,dir,rsrp,rsrq,sinr,cqi,ta,ci,payload,throughput,rtt,region,hour,weekday
1685.35,51.49297461,7.40240921,166.47,7.96,-0.85,269.58,-91,-8,13,8,3,29391106,10.0,18.1118,77,campus,9,Tuesday
1714.16,51.49298215,7.40208197,166.38,0.0,0.0,270.91,-91,-7,24,6,5,26385410,0.5,6.50407,132,campus,9,Tuesday
1714.16,51.49298215,7.40208197,166.28,0.0,0.0,270.91,-92,-7,24,6,5,26385410,6.0,18.9798,49,campus,9,Tuesday
1714.16,51.49298215,7.40208197,166.37,0.0,0.0,270.91,-91,-8,21,6,5,26385410,2.0,14.7601,46,campus,9,Tuesday
1716.07,51.49293373,7.40184821,167.26,1.65,0.0,216.19,-92,-7,25,7,5,26385410,0.1,4.8485,57,campus,9,Tuesday
1846.62,51.49152289,7.40173459,170.76,13.61,0.27,181.18,-86,-10,23,12,5,26385410,8.0,25.4676,69,campus,9,Tuesday
1959.73,51.49054659,7.40171472,174.2,13.7,0.0,180.44,-81,-6,36,15,5,26385410,0.5,5.29801,129,campus,9,Tuesday
2052.18,51.48975392,7.40170239,179.01,2.12,0.0,181.83,-77,-7,26,15,5,26385410,1.0,8.163269999999999,61,campus,9,Tuesday
2089.17,51.48939193,7.40181137,181.04,6.5,0.0,139.08,-70,-6,35,15,5,26385410,0.5,6.0698,98,campus,9,Tuesday
2191.98,51.48937599,7.40342733,180.01,12.11,-0.16,91.08,-72,-6,37,13,5,26385410,0.5,7.1048,68,campus,9,Tuesday
2337.23,51.48938199,7.40550332,178.76,11.23,-0.57,87.05,-71,-6,19,12,1,26385408,7.0,22.3196,33,campus,9,Tuesday
2417.26,51.48952569,7.40660039,180.21,9.11,0.0,76.62,-74,-6,17,12,1,26385408,0.5,6.42055,117,campus,9,Tuesday
2533.57,51.48974474,7.40820635,178.74,10.09,0.0,82.72,-76,-8,10,11,1,26385408,6.0,18.1064,75,campus,9,Tuesday
287.35,51.49069087,7.41556946,155.47,12.73,0.0,84.28,-85,-6,12,15,1,26385408,2.0,6.91742,100,campus,9,Tuesday
366.21,51.49062862,7.41666161,150.16,4.64,0.0,99.29,-83,-6,27,12,4,29391105,0.1,4.32434,100,campus,9,Tuesday
378.77,51.49059966,7.41677384,150.71,0.0,0.0,103.4,-82,-6,34,12,4,29391105,1.0,6.617039999999999,114,campus,9,Tuesday
473.05,51.49124314,7.41705928,155.53,13.26,0.0,349.56,-87,-6,30,11,4,29391105,8.0,16.7145,99,campus,9,Tuesday
576.11,51.49209879,7.41656521,156.61,10.15,0.0,334.33,-94,-9,16,8,4,29391105,5.0,14.0647,98,campus,9,Tuesday
659.01,51.49290474,7.41609251,159.56,12.19,0.0,357.18,-96,-7,22,6,4,29391105,0.1,3.9215800000000005,107,campus,9,Tuesday
791.84,51.49405281,7.41566865,159.32,12.78,0.0,345.48,-91,-9,23,9,4,29391105,1.0,12.8824,115,campus,9,Tuesday
909.44,51.4944169,7.4145223,158.98,12.75,0.0,261.18,-92,-10,19,8,4,29391105,7.0,12.5928,108,campus,9,Tuesday
1018.09,51.49422852,7.41301495,161.65,13.6,0.0,258.17,-90,-7,19,11,4,29391104,6.0,16.4666,37,campus,9,Tuesday
1150.94,51.4939705,7.41112287,165.96,12.88,0.0,257.83,-78,-5,27,12,4,29391104,4.0,12.003,104,campus,9,Tuesday
1304.77,51.49367133,7.40889521,168.68,14.96,0.0,258.07,-83,-7,28,15,4,29391104,6.0,13.6402,87,campus,9,Tuesday
1417.76,51.49345935,7.40724588,167.96,14.77,0.17,258.5,-79,-7,15,12,3,29391106,2.0,13.4454,58,campus,9,Tuesday
1572.07,51.49318293,7.40519636,168.77,14.98,0.0,257.52,-88,-7,14,15,3,29391106,2.0,9.59233,105,campus,9,Tuesday
1705.41,51.49296969,7.40329797,167.3,14.28,0.0,264.0,-92,-8,9,8,3,29391106,0.5,6.20155,54,campus,9,Tuesday
1791.74,51.49297824,7.40206561,165.34,0.0,0.0,270.04,-91,-8,15,12,7,26385410,3.0,14.5191,64,campus,9,Tuesday
1801.9,51.49291965,7.40180218,162.9,5.25,0.0,214.76,-92,-7,14,7,7,26385410,0.5,4.089980000000001,113,campus,9,Tuesday
1932.47,51.49178738,7.40171595,166.8,14.45,0.0,180.27,-88,-7,21,11,7,26385410,3.0,12.8548,92,campus,9,Tuesday
2089.11,51.49032138,7.40169186,175.0,14.07,0.0,180.1,-82,-5,26,15,7,26385410,7.0,19.774,47,campus,9,Tuesday
2189.54,51.4894045,7.40182608,181.2,7.61,0.0,128.86,-68,-7,31,15,7,26385410,5.0,22.1607,61,campus,9,Tuesday
2250.0,51.48938406,7.4027745,179.65,5.67,0.0,90.95,-72,-8,29,15,7,26385410,1.0,8.298760000000001,34,campus,9,Tuesday
2323.55,51.48938743,7.40388932,178.68,9.29,0.0,90.08,-73,-6,21,12,7,26385410,0.5,9.73236,120,campus,9,Tuesday
2438.06,51.48939785,7.40562122,180.12,10.11,0.0,85.61,-74,-7,21,10,1,26385408,10.0,34.7222,35,campus,9,Tuesday
2520.89,51.48955777,7.40675397,181.87,10.49,0.0,77.57,-73,-5,20,11,1,26385408,0.5,9.23788,36,campus,9,Tuesday
2646.51,51.48976385,7.40841679,175.28,8.78,0.0,79.6,-75,-5,21,10,1,26385408,7.0,19.1257,56,campus,9,Tuesday
2750.89,51.48997185,7.40996844,168.98,12.04,0.0,79.75,-75,-5,23,13,1,26385408,6.0,18.2163,87,campus,9,Tuesday
279.98,51.49067468,7.41542603,158.12,12.78,-0.66,83.04,-86,-5,13,11,1,26385408,1.0,6.36436,97,campus,9,Tuesday
394.35,51.49058926,7.41687755,153.74,2.36,-3.19,103.12,-81,-5,32,12,5,29391105,5.0,14.7601,86,campus,9,Tuesday
397.62,51.49058787,7.41688524,153.54,0.0,0.0,103.12,-80,-6,38,13,5,29391105,6.0,15.8888,114,campus,9,Tuesday
